,Sub_63,Sub_67,Sub_177,Sub_240,Sub_634,Sub_668,Sub_852,Sub_934,Sub_973,Sub_1000,Sub_1076,Sub_1107,Sub_1161,Sub_1263,Sub_1505,Sub_1682,Sub_1786,Sub_1820,Sub_1990,Sub_2019,Sub_2032,Sub_2146,Sub_2179,Sub_2189,Sub_2195,Sub_2201,Sub_2247,Sub_2355,Sub_2458,Sub_2466,Sub_2546,Sub_2704,Sub_2752,Sub_2754,Sub_2975,Sub_3043,Sub_3115,Sub_3176,Sub_3207,Sub_3213,Sub_3222,Sub_3253,Sub_3400,Sub_3455,Sub_3460,Sub_3490,Sub_3561,Sub_3576,Sub_3753,Sub_3901,Sub_4020,Sub_4222,Sub_4360,Sub_4512,Sub_5121,Sub_5412,Sub_5585,Sub_5715
7/1/2002,4.650100227,3.415067677,4.497313555,4.525485241,5.269642444,4.067235017,4.41723949,5.050018265,5.186648906,3.080505042,4.733618283,5.145960597,3.26090895,4.13672076,4.459485201,3.987452858,5.278941251,5.023192055,4.305020905,4.913475968,4.227570547,5.086369743,4.295155123,4.762388423,4.448530713,4.377376488,3.185722385,4.998705171,3.887163398,4.113436288,4.588667609,4.872048391,3.985002981,4.559368955,5.443356751,4.315644398,4.437765892,3.999859685,4.640615004,4.810609842,3.167774942,4.557003224,4.730218867,4.518793929,4.951306315,3.919971949,4.496826173,5.159978554,3.800668185,3.557758767,4.455153899,2.509325614,4.119614279,3.529410192,4.349389788,5.2585049,3.793080921,4.914270992
8/1/2002,4.199222371,2.985370163,4.139071481,4.472735206,5.322570192,3.448917868,4.992397033,4.601421585,5.221184364,3.008878675,5.225079518,4.610096279,3.251627508,4.4685534,4.702922806,3.823185179,5.028750879,4.582172416,4.461292889,4.685795319,4.456746273,4.756273192,4.551534506,4.285815916,4.845788812,4.331382505,3.532600206,4.600554718,3.83579181,4.158684581,4.27737589,5.081068523,3.947232249,4.298062902,5.204618606,4.418787002,4.412928537,4.000087555,4.547645916,3.972058275,2.377386,4.751579138,4.304820792,5.165853398,4.581931269,3.987867518,4.854173836,5.229732955,3.861100845,3.375213173,4.253415319,2.4846528,4.108338566,3.491963544,4.269915821,4.963610305,4.014165196,5.024274763
9/1/2002,3.562373109,2.851848925,3.131665593,2.960414634,3.973475824,2.533836578,3.615844607,3.28624639,3.970934556,2.305219883,3.714075736,4.263948915,2.137539022,3.117813277,3.343082912,2.515306547,3.940886833,3.681279017,2.868281086,3.357633101,3.281514259,3.556719612,3.341866977,3.870780365,3.641437732,2.96034879,2.171581293,3.011473891,2.604602169,2.7340532,4.228866059,3.415308463,3.819359539,2.782172792,4.020166172,2.753216381,3.582926643,2.518823991,3.292602587,4.09705649,2.396092393,3.540701845,3.144065215,3.655031046,2.913301403,2.330514621,3.599021061,3.911893829,2.548560189,2.562318166,3.452598551,1.941923088,2.764536761,2.277675401,2.497483053,3.452864302,3.129591601,3.258585928
10/1/2002,0.850012788,1.049696391,0.814355127,0.617799973,0.723702565,0.730423065,0.633025984,0.809180186,0.781572707,0.69292027,0.761395119,1.861742993,0.568207627,0.624520274,0.968564346,0.640253149,0.690016738,0.757990495,0.465949656,0.768012954,0.565595809,0.74239285,0.552275183,1.470844432,0.477893255,0.820224303,0.783294353,0.745210944,0.998242721,0.619325427,1.62766787,0.685084514,1.756335736,0.496022846,0.680404572,0.429346856,1.172411102,0.516578815,0.890808769,1.624578293,1.13083081,0.522551497,1.064576471,0.548704468,0.759465988,0.629689078,0.53925471,0.691960384,0.630262198,1.119336678,0.991530752,0.639661783,0.463021057,0.749082928,0.46344868,0.687202767,0.833766909,0.656085197
11/1/2002,0.521126472,0.476373988,0.531304188,0.381012165,0.382594089,0.694570714,0.385976298,0.463337981,0.39440568,0.371576471,0.355427177,0.640625279,0.463994543,0.394996299,0.553391581,0.486535142,0.330703902,0.387237416,0.360269964,0.409331722,0.444482651,0.491189302,0.419219102,0.692158802,0.395108581,0.513339849,0.448944693,0.478545786,0.631446468,0.380410237,0.650947288,0.38752666,0.746754495,0.519554764,0.393566457,0.351163462,0.602324241,0.398191932,0.611395578,0.642453004,0.543958081,0.347316484,1.096758185,0.382821971,0.458448727,0.322341156,0.32313803,0.456327278,0.433767214,1.06884567,0.635384886,0.323630969,0.328995841,0.391975509,0.312332548,0.396205386,0.584802001,0.403045005
12/1/2002,0.64061346,0.401518043,0.32645274,0.403744455,0.311359742,0.638876983,0.524246376,0.398083432,0.27398703,0.22451585,0.36400952,0.41319209,0.467625731,0.595788475,0.332051773,0.311349857,0.333028271,0.371235249,0.478362726,0.325494411,0.592441256,0.308516227,0.466906703,0.40075153,0.314474597,0.460113945,0.319955139,0.488136833,0.542477078,0.526962494,0.382925112,0.29769395,0.37160143,0.3269671,0.363498452,0.444240985,0.420427676,0.542388456,0.357307978,0.347085067,0.32323224,0.353225093,0.893429886,0.456055656,0.510320176,0.318777996,0.244075276,0.297264555,0.568491017,0.948188623,0.418505167,0.239659845,0.249278669,0.321472061,0.310230136,0.349921863,1.104514602,0.318716017
1/1/2003,0.683802421,0.325230208,0.449684959,0.487816848,0.510384286,0.611467823,0.583996538,0.591626083,0.37521072,0.188582694,0.398872061,0.551825315,0.470401334,0.574084748,0.303587377,0.230835953,0.481383381,0.53252115,0.507515618,0.391933605,0.442644639,0.47361717,0.39478003,0.528698865,0.432641574,0.518418706,0.247209153,0.577582709,0.711723502,0.533698079,0.560881753,0.43148575,0.535186323,0.465352144,0.491696543,0.465735866,0.350697614,0.592375186,0.384416958,0.517393668,0.344274556,0.445946254,1.038890178,0.41000182,0.610285549,0.287965436,0.205608073,0.472471692,0.563822545,1.073765673,0.372629409,0.157290368,0.343670743,0.248469292,0.353801944,0.508204681,0.755969916,0.459179708
2/1/2003,0.425560448,0.264334038,0.132975317,0.40033777,0.247976094,0.284378718,0.289239034,0.251764834,0.206810742,0.24971921,0.274191182,0.31601304,0.347008015,0.448640135,0.144221458,0.123820197,0.278997236,0.288988648,0.32467769,0.210743219,0.25891234,0.209783932,0.254884277,0.264709172,0.327217561,0.266705254,0.11467911,0.328174679,0.426473302,0.427515113,0.282149514,0.195946783,0.231517341,0.248072405,0.254979312,0.307638111,0.214980372,0.530683269,0.179600367,0.208200513,0.28178694,0.307157392,0.5947971,0.200424815,0.351989572,0.161592047,0.142563254,0.251153631,0.342984354,0.414700499,0.173200107,0.208956844,0.12973409,0.152933651,0.230577383,0.265463615,0.507336843,0.182037788
3/1/2003,0.517323941,0.402832115,0.39317793,0.401691626,0.29562058,0.520425275,0.324005593,0.374766842,0.29982212,0.347357477,0.28462449,0.795146133,0.393061574,0.500699465,0.310070211,0.309600166,0.368896156,0.353818824,0.343237915,0.307371894,0.354693864,0.3072897,0.280433543,0.769185738,0.347283457,0.47164772,0.253566144,0.38656076,0.489590506,0.510268788,0.785818495,0.294624628,0.811616065,0.411979614,0.306534464,0.340815585,0.322142656,0.537261955,0.361222555,0.73193456,0.500802922,0.324059327,0.866007279,0.258045344,0.406245689,0.319783901,0.268250405,0.312597842,0.436212991,0.686509662,0.335146728,0.337391135,0.274544699,0.249963487,0.308048927,0.363200567,0.599532294,0.333579288
4/1/2003,0.897931321,0.773734191,0.547248845,0.624830307,0.638616559,0.714094639,0.623665969,0.772065772,0.640909951,0.600611083,0.695510736,1.17119447,0.647536039,0.705934944,0.560010236,0.523431899,0.70083897,0.758650952,0.645045198,0.661006455,0.629826755,0.677882322,0.626651592,1.558138963,0.607075589,0.645021,0.52593618,0.834566181,0.889867786,0.700952376,1.101096575,0.681555287,1.806687488,0.645071512,0.659522446,0.639372164,0.571207043,0.735479862,0.578745648,1.442676663,0.940536327,0.589672328,1.084394741,0.563952553,0.80096722,0.650451781,0.556974952,0.687194379,0.733716001,1.006227349,0.563620535,0.552952643,0.560949447,0.501973024,0.591360704,0.717924607,1.041952583,0.682175276
