SUB,R2-ET,NSE-ET,PBIAS-ET,R2-LAI,NSE-LAI,PBIAS-LAI,R2-NPPC,NSE-NPPC,PBIAS-NPPC,LULC
1,0.826089488,0.825351502,-0.6,0.716785382,0.665652477,-11.5,0.801698348,0.643321374,-24.3,CNRN
2,0.805276999,0.784307445,9.2,0.840000838,0.674880648,-30.9,0.807652105,0.729352074,-16.6,ASEN
3,0.520304143,0.148597427,27.1,0.732621213,0.291326794,64.2,0.738617051,0.560227553,51.2,CNRN
4,0.788144131,0.756888702,-11.6,0.283578018,0.094251703,8.3,0.703570952,0.606591343,31.2,URBN
5,0.542221213,0.419955996,5.3,0.676056194,0.535204719,23.8,0.547819935,0.479217741,26.4,CNRN
6,0.849132574,0.819526975,14.9,0.808166727,0.65458379,32.7,0.846092979,0.469777909,74.3,PNST
7,0.845614579,0.842447813,0.8,0.840226563,0.830153277,-1.2,0.846728115,0.819606536,3.5,CNRN
8,0.731780826,0.724960849,6.2,0.860069311,0.84785802,11.8,0.844262987,0.813518248,-2.5,CNRN
9,0.63160796,0.537973002,11.6,0.904672929,0.891404723,14.6,0.779389839,0.720231307,-14.8,CNRN
10,0.720585743,0.719297153,0.3,0.751726381,0.743897218,13.9,0.642737663,0.581854922,-17.5,SNYB
11,0.748129764,0.667445877,-16,0.47037518,0.290053691,-38.8,0.722157241,0.711587614,-4.5,URBN
12,0.598613103,-0.062213632,37.6,0.844000171,0.704266552,-28.1,0.860159902,0.825903174,-9.6,PSST
13,0.862990075,0.810685314,18.7,0.90407003,0.832698191,-19.1,0.846605155,0.832502322,-3.7,PSST
14,0.882132569,0.868917985,10.9,0.79203325,0.75424873,21.5,0.797566359,0.77112384,5.6,PNST
15,0.625081925,0.607576231,-2.9,0.84298066,0.842649875,1.3,0.861253719,0.77506616,-17.8,SNYB
16,0.714982831,0.710282765,-0.5,0.692252385,0.559832018,-35.8,0.867865392,0.756778823,-23.8,PNST
17,0.667007437,0.611069639,-9.1,0.913278718,0.658249501,-36.7,0.68937476,0.658694106,-9.8,MAPL
18,0.718371424,0.701653969,8.6,0.786786126,0.766758282,-1.2,0.759584564,0.722160859,-6.8,SNYB
19,0.874763983,0.856779795,10,0.887731578,0.872855172,-9.6,0.820211038,0.800516336,1.2,PNST
20,0.798606852,0.769667726,16.5,0.895175898,0.831711772,-15.8,0.788709306,0.773420055,7.7,PNST
21,0.865395475,0.854494133,7.3,0.784883253,0.783432216,-4.3,0.836808309,0.827301452,2.7,CNRN
22,0.588261898,0.499802523,8.7,0.921308752,0.921024677,1.6,0.872540487,0.767398716,-21.4,CNRN
23,0.765435849,0.667471095,12.7,0.796881529,0.768689219,21.9,0.743172057,0.69969683,-0.7,CSRN
24,0.836849846,0.745437829,4.6,0.869232223,0.828213399,-13.7,0.583977723,0.575451931,-9.1,PSST
25,0.816666002,0.745360676,-4.6,0.724724413,0.612278581,-24.5,0.77796358,0.755049014,-2.5,WCAK
26,0.773453417,0.691695518,-15.9,0.228858225,0.104057576,-0.1,0.692267051,-2.894910729,157.5,URBN
27,0.803899121,0.77759329,17,0.857167303,0.793216411,-19.5,0.798110256,0.724169452,-15.6,ASEN
28,0.857360521,0.857214257,1,0.841821948,0.768074373,-22.6,0.841326425,0.806785647,-3.9,PNST
29,0.859003349,0.821272073,-4.7,0.858814213,0.841441252,14.6,0.773551513,0.749523889,8.3,PNST
30,0.607196924,0.520469394,10.4,0.750313904,0.741393194,4.5,0.719710181,0.718021907,5.6,CNRN
31,0.825106503,0.816993575,-5.1,0.907883628,0.905249795,-3.5,0.588006302,0.552534565,16.5,CSRN
32,0.682664963,0.589864239,3.3,0.852648078,0.785727172,27,0.826258119,0.815681944,10.6,CNRN
33,0.794874723,0.766983752,-10.8,0.87624563,0.804023461,-17.8,0.644287062,0.62022025,7.9,WSAK
34,0.642581799,0.396190838,3.7,0.877136128,0.595205812,48.6,0.83841842,0.811471618,22.9,SNYB
35,0.819868047,0.797640398,15,0.82992597,0.689830969,-27.8,0.804707565,0.728240629,-16.3,ASEN
36,0.852438741,0.811678939,19.5,0.861624222,0.855779036,-5.6,0.826318112,0.815273252,13.7,PNST
37,0.786523264,0.744122101,21,0.780388214,0.778287153,-4.3,0.772833367,0.744508554,-6.3,ASEN
38,0.778477836,0.749862982,18.1,0.833639969,0.725152455,-26.3,0.780689097,0.742861775,-9.6,ASEN
39,0.626739918,0.469682984,1.4,0.765253421,0.567791989,44.7,0.659110915,0.565237191,43.7,CSRN
40,0.691079666,0.61864822,12.2,0.832343805,0.828479985,7.2,0.888144624,0.880163146,12.7,CNRN
41,0.829104026,0.798447072,-11.6,0.923093425,0.868668133,-14.4,0.416686728,0.378665863,-13.2,WSAK
42,0.732190726,0.58485145,24.5,0.804801055,0.77455051,25.3,0.7277399,0.639323021,37.8,CNRN
43,0.665486812,0.621114594,2.9,0.882141434,0.879291174,7,0.804399333,0.792156034,1.5,CNRN
44,0.667323817,0.574081215,-3.9,0.674362752,0.580061356,43.1,0.543314947,0.524671767,20.5,CSRN
45,0.851947261,0.739349931,24.1,0.841144564,0.785986946,7.5,0.81638782,0.787023678,-6.2,PNST
46,0.701598817,0.660797376,2.2,0.691221168,0.650066237,30.7,0.571719797,0.486716062,45.6,CSRN
47,0.847639727,0.829373299,13.2,0.813966168,0.785545038,-14.5,0.818509675,0.775667488,-10.2,ASEN
48,0.778927486,0.773798656,5.4,0.495046066,0.437002628,-22.8,0.822161866,0.792849039,-9.7,PNST
49,0.814597898,0.72784896,23.4,0.79061029,0.770937581,11.1,0.865896849,0.820294451,30.3,PNST
50,0.879147478,0.861847788,-4.3,0.898750447,0.897030921,2.1,0.831340728,0.721094908,-20.7,PNST
51,0.631940887,0.281960061,4.6,0.71250462,0.313407797,66.8,0.529164405,0.503313603,28.2,CSRN
52,0.8695108,0.84463804,16,0.943570388,0.910075331,-7.9,0.864263158,0.855777941,9.9,WEEF
53,0.8613249,0.802212421,20.2,0.898709901,0.860391668,17.8,0.849073336,0.836940847,12.2,ASEN
54,0.675449314,0.659090341,-1,0.840385183,0.840023811,-1.3,0.904041707,0.891194985,-2.5,SNYB
55,0.718016572,0.715793427,-2.9,0.716387106,0.595719076,-34.1,0.885854262,0.78081211,-21.9,PNST
56,0.603341704,0.334880831,5.3,0.708400273,0.514512995,42.4,0.606020989,0.582350789,25.5,CSRN
57,0.876249445,0.852074149,15.7,0.909415771,0.908126458,1.4,0.859621847,0.833743846,23.3,ASWN
58,0.771814163,0.575933886,10.1,0.877944919,0.847364977,-12.1,0.617950542,0.607565184,3.3,PSST
59,0.65231409,0.597744368,2.4,0.907472565,0.894171586,13.5,0.764076171,0.738316508,-5,CNRN
60,0.82306949,0.798269031,-2.3,0.888146535,0.842262003,-12.4,0.844769179,0.826580643,8,CNRN
61,0.775442003,0.743050655,-6.4,0.800256928,0.63484713,-30.9,0.830976001,0.771957632,-14.5,WNAK
62,0.679814013,0.618413747,-9.4,0.908018508,0.651022139,-36.8,0.700415509,0.671045418,-9.1,MAPL
63,0.901218405,0.884219467,11.6,0.923516085,0.907031012,8.8,0.887368318,0.877685753,11.6,WEEF
64,0.783753316,0.707383797,-14.7,0.240126376,-0.041786611,19.5,0.692113359,-3.333801795,169.1,URBN
65,0.82184271,0.814749029,5.7,0.709250434,0.706981139,4.6,0.791677729,0.777804492,15.8,CNRN
66,0.684646014,0.662850759,1.8,0.817113031,0.812719718,4.8,0.838796051,0.826209895,4.8,CNRN
67,0.864985255,0.845662701,8,0.905073654,0.787711322,19.2,0.757247274,0.742565305,12.4,PSST
68,0.909904242,0.887818069,2.9,0.78232985,0.76798832,12.8,0.797419577,0.781853329,13.3,PNST
69,0.819136896,0.786984914,-7.8,0.800557548,0.725611124,-23.4,0.836805682,0.712590713,-25.8,WNAK
70,0.807231163,0.803196364,-1.1,0.843555824,0.83661411,5,0.774427108,0.760373037,12.5,CSRN
71,0.812227548,0.793345332,13.3,0.873513282,0.74249339,-26,0.78012046,0.684606745,-20.3,ASEN
72,0.633145049,0.596298534,6.9,0.87484001,0.869038274,-6,0.899142755,0.845781193,-14.6,CNRN
73,0.826052339,0.734208364,22.8,0.826108648,0.759975851,6.5,0.814985908,0.782493103,-8.3,PNST
74,0.792148872,0.773578477,13.3,0.870644497,0.726480753,-30,0.806484633,0.67223322,-25.1,ASEN
75,0.796381898,0.782930102,12.2,0.91893398,0.918655257,1.8,0.789086533,0.7754487,16.9,ASWN
76,0.753268231,0.586750014,14.7,0.912558028,0.905912398,8.3,0.817056898,0.805837637,11.5,PSST
77,0.751360619,0.405664147,-34.6,0.272830615,-0.063924269,-53.1,0.818815186,0.593072868,-32.9,URBN
78,0.704918958,0.673200131,4.1,0.914343322,0.891017685,2.1,0.767458,0.654211091,-20,CNRN
79,0.682481018,0.412592184,14.2,0.790470816,0.567690708,53.1,0.675864119,0.538367908,49.1,CSRN
80,0.522426637,0.42060838,10.4,0.755010339,0.752716326,-1.7,0.708413146,0.698158879,0.4,CNRN
81,0.663335148,0.634008984,4.5,0.90108087,0.847342957,23.4,0.782871062,0.688459231,-23.9,CNRN
82,0.805485098,0.744829546,20.6,0.830253453,0.744826881,8.2,0.813252838,0.803524334,12.2,WNAK
83,0.836183626,0.806296455,-1.3,0.913039251,0.904874085,-5.2,0.555963395,0.519763694,4.3,WSAK
84,0.593419994,0.51995832,3.4,0.883724169,0.882994526,3.9,0.831868387,0.823652153,-0.7,CNRN
85,0.788756037,0.775961224,11.1,0.910174498,0.850747761,-17.5,0.781832972,0.558428283,56.9,ASWN
86,0.818361421,0.814231118,0.6,0.82014785,0.805377725,-9.1,0.820763122,0.776202904,-3.9,PNST
87,0.785418991,0.708331616,19,0.925580833,0.871330253,-13.6,0.806223573,0.748254595,-14.9,PSST
88,0.755755563,0.732704707,7.1,0.657357329,0.629681105,21.5,0.751021602,0.64755006,40.8,CNRN
89,0.811569156,0.795490033,12.8,0.899374012,0.80029097,-23.5,0.786578105,0.738890031,31.3,ASWN
90,0.847588186,0.834148276,7.6,0.891002828,0.701461948,-29.1,0.830175453,0.806218157,-3.8,PSST
91,0.874286965,0.867921192,-2.9,0.85202367,0.778333786,-22.9,0.879471995,0.872759042,5.8,PNST
92,0.912551844,0.872469368,19.6,0.851855845,0.829259592,12.7,0.821556504,0.813158136,8.8,PNST
93,0.810703044,0.725712862,26.1,0.929794561,0.929212251,1.4,0.80034468,0.786425248,17,PNST
94,0.850002927,0.8345615,11.2,0.763760668,0.758445452,4,0.833987868,0.824044167,7.5,CNRN
95,0.736000798,0.735658649,0.1,0.610003451,0.484284312,-37.4,0.87725757,0.764745689,-25.3,PNST
96,0.641449197,0.627849638,7.5,0.909627974,0.889788793,-3.1,0.743293944,0.723853065,18.6,CSRN
97,0.797556135,0.764426788,-12.8,0.905026939,0.766156726,-23.8,0.654481185,0.640939233,7.8,WSAK
98,0.607263887,0.424487318,-0.4,0.843382561,0.655447519,35.4,0.85131003,0.842977532,6.7,CSRN
99,0.751808693,0.609459364,8.7,0.892809608,0.869334701,15,0.811937396,0.69912079,37.3,CSRN
100,0.660627561,0.520928442,0.3,0.832445913,0.701309559,31.6,0.861308119,0.847323823,9.2,CSRN
101,0.677588086,0.67088155,1.1,0.874443287,0.86862754,-2,0.672679673,0.661002164,14.8,CSRN
102,0.70303067,0.651575142,0.5,0.84280991,0.813020538,27.3,0.667787181,0.645614428,6.5,CNRN
103,0.819091817,0.717389213,5.9,0.858296237,0.690339677,-25.2,0.696018987,0.678239843,-6.7,WSAK
104,0.558356916,0.394503134,10.9,0.837543965,0.83691342,3.8,0.716459218,0.706608065,-0.3,CNRN
105,0.866206005,0.780251126,20.9,0.833158237,0.619182919,20.3,0.861103209,0.337575495,66.6,PNST
106,0.799775829,0.781496465,13.7,0.914440324,0.911752452,3.9,0.791535117,0.750189377,-8.3,FRED
107,0.829255488,0.814899264,-5.8,0.647339749,0.644077294,-2.6,0.782718832,0.764047764,-1.3,PNST
108,0.637741263,0.551827298,8.8,0.764001935,0.763968857,0.1,0.733432729,0.651137185,-22.5,SNYB
109,0.872644059,0.727975678,25.6,0.907152802,0.895820141,-2,0.796539182,0.777261402,-2.4,PSST
110,0.565132138,0.527004793,4.2,0.832059628,0.819873806,-11.1,0.86856962,0.778351719,-22.8,CNRN
111,0.820622237,0.819466418,0.1,0.830990219,0.829126565,-1.7,0.881163449,0.765525398,39.5,CNRN
